ratio_L_over_b,L,p,C_geo,C_hybrid,delta_C_hybrid_minus_geo
10.0,100000,0.7474747474747475,0.19483771117413987,0.15957957590743463,-0.03525813526670524
10.0,100000,0.7575757575757577,0.19736365109414294,0.1616302778592185,-0.035733373234924454
10.0,100000,0.7676767676767677,0.19988959101414597,0.16368097981100233,-0.03620861120314364
10.0,100000,0.7777777777777778,0.202415530934149,0.16573168176278613,-0.03668384917136286
10.0,100000,0.787878787878788,0.20494147085415207,0.16778238371456997,-0.0371590871395821
10.0,100000,0.797979797979798,0.2074674107741551,0.1698330856663538,-0.03763432510780129
10.0,100000,0.8080808080808082,0.20999335069415817,0.17188378761813763,-0.038109563076020536
10.0,100000,0.8181818181818182,0.2125192906141612,0.17393448956992144,-0.03858480104423975
10.0,100000,0.8282828282828284,0.21504523053416427,0.1759851915217053,-0.03906003901245897
10.0,100000,0.8383838383838385,0.21757117045416732,0.17803589347348914,-0.039535276980678186
10.0,100000,0.8484848484848485,0.22009711037417035,0.18008659542527294,-0.0400105149488974
10.0,100000,0.8585858585858587,0.22262305029417342,0.18213729737705678,-0.040485752917116646
10.0,100000,0.8686868686868687,0.22514899021417645,0.1841879993288406,-0.040960990885335835
10.0,100000,0.8787878787878789,0.22767493013417953,0.18623870128062445,-0.04143622885355508
10.0,100000,0.888888888888889,0.23020087005418255,0.18828940323240828,-0.04191146682177427
10.0,100000,0.8989898989898991,0.23272680997418563,0.19034010518419212,-0.04238670478999351
10.0,100000,0.9090909090909092,0.23525274989418865,0.19239080713597595,-0.0428619427582127
10.0,100000,0.9191919191919192,0.2377786898141917,0.19444150908775976,-0.043337180726431945
10.0,100000,0.9292929292929294,0.24030462973419475,0.19649221103954362,-0.043812418694651134
10.0,100000,0.9393939393939394,0.24283056965419778,0.19854291299132742,-0.04428765666287035
10.0,100000,0.9494949494949496,0.24535650957420085,0.20059361494311126,-0.044762894631089595
